module_id,module_code,module_title,top_rank_changed,m2_top_staff_id,m3_top_staff_id,m3_top_staff_name,m3_top_staff_position,m3_top_staff_department,semantic_score,m3_kg_score,graph_support_score,shared_topic_count,top_shared_topics,same_department,same_college,graph_explanation,case_type
module_0066d2008c0dacc6,BB27AAMOLECULARANDCELLULARBIOLOGYWITHDEVELOPMENTALANDSTEMCELLBIOLOGY,BB27aa - Molecular and Cellular Biology with Developmental and Stem Cell Biology,True,alessandro-esposito,victor-hernandez,Dr Victor Hernandez,Senior Lecturer in Biomedical Sciences,Department of Life Sciences,0.430331,0.504265,0.8,3,"biology, molecular, cell biology",True,True,"Shared topic evidence: biology, molecular, cell biology; Same department match",changed_top_rank
module_90c63f569c1a3e98,EC1608,EC1608 - Mathematics for Economics and Finance,True,dilruba-karim,menelaos-karanasos,Professor Menelaos Karanasos,Professor,"Economics, Finance and Accounting",0.328523,0.392818,0.65,3,"economics, finance, mathematics",False,True,"Shared topic evidence: economics, finance, mathematics; Same college match",changed_top_rank
module_4b860de250c9b958,BB5606,BB5606 - Molecular Medicine,True,michael-themis,christian-rudolph,Dr Christian Rudolph,Reader,Department of Life Sciences,0.38179,0.445432,0.7,2,"molecular, cell biology",True,True,"Shared topic evidence: molecular, cell biology; Same department match",changed_top_rank
module_f679fb0c92356396,BRAIN&COGNITION,Brain & Cognition,True,julio-rodriguezlarios,caroline-dibernardiluft,Dr Caroline Di Bernardi Luft,Head of Department - Psychology / Senior Lecturer in Psychology,Department of Life Sciences,0.3861,0.44888,0.7,2,"brain, cognition",True,True,"Shared topic evidence: brain, cognition; Same department match",changed_top_rank
module_e8fcff032df9e566,BRAINANDCOGNITION,Brain and Cognition,True,julio-rodriguezlarios,caroline-dibernardiluft,Dr Caroline Di Bernardi Luft,Head of Department - Psychology / Senior Lecturer in Psychology,Department of Life Sciences,0.388375,0.4507,0.7,2,"brain, cognition",True,True,"Shared topic evidence: brain, cognition; Same department match",changed_top_rank
module_89e51717fbfe4e88,LX5673,LX5673 - Intellectual Property and New Technologies,True,asress-gikay,francesca-mazzi,Dr Francesca Mazzi,"Lecturer in AI, Innovation and Law",Brunel Law School,0.361212,0.42897,0.7,2,"artificial intelligence, intellectual property",True,True,"Shared topic evidence: artificial intelligence, intellectual property; Same department match",changed_top_rank
module_f81ad7afe7699c73,LX5673,LX5673 - Intellectual Property and New Technologies,True,asress-gikay,francesca-mazzi,Dr Francesca Mazzi,"Lecturer in AI, Innovation and Law",Brunel Law School,0.361212,0.42897,0.7,2,"artificial intelligence, intellectual property",True,True,"Shared topic evidence: artificial intelligence, intellectual property; Same department match",changed_top_rank
module_703a9745f44523e7,MINDFULNESSNEUROSCIENCEANDCLINICALAPPLICATIONS,Mindfulness - Neuroscience and Clinical Applications,True,julio-rodriguezlarios,elena-antonova,Dr Elena Antonova,Reader in Psychology,Department of Life Sciences,0.452773,0.502218,0.7,2,"neuroscience, brain function",True,True,"Shared topic evidence: neuroscience, brain function; Same department match",changed_top_rank
module_891c3b38795abeb5,MINDFULNESSNEUROSCIENCEANDCLINICALAPPLICATIONS,Mindfulness - Neuroscience and Clinical Applications,True,julio-rodriguezlarios,elena-antonova,Dr Elena Antonova,Reader in Psychology,Department of Life Sciences,0.452773,0.502218,0.7,2,"neuroscience, brain function",True,True,"Shared topic evidence: neuroscience, brain function; Same department match",changed_top_rank
module_29718669a91f653d,PHYSICALACTIVITYBEHAVIOURCHANGEANDPUBLICHEALTH,Physical Activity Behaviour Change and Public Health,True,daniel-bailey,louise-mansfield,Professor Louise Mansfield,"Vice Dean Research/Professor - Sport, Health and Exercise Sciences",Department of Life Sciences,0.484933,0.527946,0.7,2,"physical activity, public health",True,True,"Shared topic evidence: physical activity, public health; Same department match",changed_top_rank
module_362d2ca3eb3d43f1,SP2616,"SP2616 - Physical Activity, Health and Wellbeing in the Life Course",True,rebecca-hings,louise-mansfield,Professor Louise Mansfield,"Vice Dean Research/Professor - Sport, Health and Exercise Sciences",Department of Life Sciences,0.43913,0.491304,0.7,2,"physical activity, physical activity health",True,True,"Shared topic evidence: physical activity, physical activity health; Same department match",changed_top_rank
module_7c8db5c92f7bc22e,SP3615,"SP3615 - Issues in Physical Activity, Health and Wellbeing in the Life Course",True,rebecca-hings,louise-mansfield,Professor Louise Mansfield,"Vice Dean Research/Professor - Sport, Health and Exercise Sciences",Department of Life Sciences,0.489538,0.53163,0.7,2,"physical activity, physical activity health",True,True,"Shared topic evidence: physical activity, physical activity health; Same department match",changed_top_rank
module_7c97540fd7c9c5f7,,Computer Architecture and Interfacing,True,zhengwen-huang,nour-ali,Dr Nour Ali,Vice-Dean Education/Reader,Computer Science,0.228278,0.292622,0.55,2,"architecture, computer architecture",False,True,"Shared topic evidence: architecture, computer architecture; Same college match",changed_top_rank
module_746388de3501fe19,EC2607,EC2607 - Corporate Finance,True,stylianos-asimakopoulos,dilruba-karim,Miss Dilruba Karim,Senior Lecturer in Economics and Finance,"Economics, Finance and Accounting",0.376108,0.410886,0.55,2,"policy, finance",False,True,"Shared topic evidence: policy, finance; Same college match",changed_top_rank
module_3f19c94855315882,,Mechanical Engineering Structures,True,rui-cardoso,mayo-adetoro,Dr Mayo Adetoro,Senior Lecturer/ Director of Education:,Mechanical and Aerospace Engineering,0.402404,0.431923,0.55,2,"mechanical engineering, finite element",False,True,"Shared topic evidence: mechanical engineering, finite element; Same college match",changed_top_rank
module_e3efd8fb7afe1d60,FM5602,Building a PR Campaign,False,billur-ozgul,billur-ozgul,Dr Billur Ozgul,Senior Lecturer in Political Communications,Social and Political Sciences,0.409338,0.43747,0.55,2,"public relations, social media",False,True,"Shared topic evidence: public relations, social media; Same college match",stable_but_explained
module_a2c2488e19243241,EC3612,"EC3612 - Economics, Finance, and Accounting Project",False,radha-shiwakoti,radha-shiwakoti,Dr Radha Shiwakoti,Senior Lecturer in Accounting and Finance,"Economics, Finance and Accounting",0.423402,0.448722,0.55,2,"economics, finance",False,True,"Shared topic evidence: economics, finance; Same college match",stable_but_explained
module_61cdcabc9eaea95e,EC3615,EC3615 - Behavioural Economics,False,alper-kara,alper-kara,Professor Alper Kara,"Head of Department/Professor - Economics, Finance & Accounting","Economics, Finance and Accounting",0.42667,0.451336,0.55,2,"finance, economics",False,True,"Shared topic evidence: finance, economics; Same college match",stable_but_explained
module_fcb40f9bc6c0f9c2,EC3OOO,"EC3OOO - Applied Research in Economics, Banking and Finance",False,dilruba-karim,dilruba-karim,Miss Dilruba Karim,Senior Lecturer in Economics and Finance,"Economics, Finance and Accounting",0.383116,0.416493,0.55,2,"economics, finance",False,True,"Shared topic evidence: economics, finance; Same college match",stable_but_explained
module_bc53cf387812deb1,EC3OOO,"EC3OOO - Economics, Finance, and Accounting Project",False,radha-shiwakoti,radha-shiwakoti,Dr Radha Shiwakoti,Senior Lecturer in Accounting and Finance,"Economics, Finance and Accounting",0.45178,0.471424,0.55,2,"economics, finance",False,True,"Shared topic evidence: economics, finance; Same college match",stable_but_explained
module_11eff2ca7bd511d0,EE2649,EE2649 - Computer Architecture and Interfacing,False,nour-ali,nour-ali,Dr Nour Ali,Vice-Dean Education/Reader,Computer Science,0.283384,0.336707,0.55,2,"architecture, computer architecture",False,True,"Shared topic evidence: architecture, computer architecture; Same college match",stable_but_explained
module_5ef6e8bf4c8a330c,EE2653,EE2653 - Electrical Engineering and Sustainability,False,ioana-pisica,ioana-pisica,Dr Ioana Pisica,Reader in Power Systems,Electronic and Electrical Engineering,0.447953,0.468362,0.55,2,"energy, electrical engineering",False,True,"Shared topic evidence: energy, electrical engineering; Same college match",stable_but_explained
module_25c0cd00a6d4af91,MG5573,MG5573 - Logistics and Supply Chain Management,False,navid-sahebjamnia,navid-sahebjamnia,Dr Navid Sahebjamnia,Senior Lecturer in Operations and Information Management,Business Analytics and Marketing,0.429858,0.453886,0.55,2,"supply chain, supply chain management",False,True,"Shared topic evidence: supply chain, supply chain management; Same college match",stable_but_explained
module_ff85810d9efc932a,MG5XXX,MG5XXX - Luxury Marketing,False,dongmei-zha,dongmei-zha,Dr Dongmei Zha,Lecturer in Marketing,Business Analytics and Marketing,0.397463,0.42797,0.55,2,"sustainability, brand management",False,True,"Shared topic evidence: sustainability, brand management; Same college match",stable_but_explained
module_bb534c1800543b50,PP3634,PP3634 - Public Policy Analysis,False,manu-savani,manu-savani,Dr Manu Savani,Senior Lecturer in Behavioural Public Policy,Social and Political Sciences,0.373971,0.409177,0.55,2,"policy, public policy",False,True,"Shared topic evidence: policy, public policy; Same college match",stable_but_explained
module_8e06631320c170a1,BB2739,BB2739 - Applied Molecular and Cell Biology,False,christian-rudolph,christian-rudolph,Dr Christian Rudolph,Reader,Department of Life Sciences,0.39911,0.479288,0.8,3,"biology, molecular, cell biology",True,True,"Shared topic evidence: biology, molecular, cell biology; Same department match",strong_graph_evidence
module_31b997c8d51aa6c8,,Advanced Design for Sustainability Project,False,fabrizio-ceschin,fabrizio-ceschin,Dr Fabrizio Ceschin,Reader in Design,Brunel Design School,0.569948,0.595958,0.7,2,"sustainability, design sustainability",True,True,"Shared topic evidence: sustainability, design sustainability; Same department match",strong_graph_evidence
module_520d1d38d9f2f3d5,ADVANCEDSOCIALPSYCHOLOGYANDINDIVIDUALDIFFERENCES,Advanced Social Psychology and Individual Differences,False,stanley-gaines-jr,stanley-gaines-jr,Dr Stanley Gaines,Senior Lecturer in Psychology,Department of Life Sciences,0.432236,0.485789,0.7,2,"psychology, social psychology",True,True,"Shared topic evidence: psychology, social psychology; Same department match",strong_graph_evidence
module_cfff362f20006f32,CLINICALPSYCHOLOGY,Clinical Psychology,False,misia-gervis,misia-gervis,Dr Misia Gervis,Reader,Department of Life Sciences,0.40597,0.464776,0.7,2,"psychology, clinical psychology",True,True,"Shared topic evidence: psychology, clinical psychology; Same department match",strong_graph_evidence
module_6bc8fedcff87bd09,PY5632,Cognitive Psychology,False,andre-szameitat,andre-szameitat,Dr Andre J. Szameitat,Reader - Psychology,Department of Life Sciences,0.488349,0.530679,0.7,2,"psychology, cognitive psychology",True,True,"Shared topic evidence: psychology, cognitive psychology; Same department match",strong_graph_evidence
