module_id,module_code,module_title,m2_top_staff_id,m3_top_staff_id,top_rank_changed,staff_id,full_name,m2_rank,m3_rank,rank_changed,semantic_score,m3_kg_score,graph_support_score,shared_topic_count,graph_explanation
module_0010f5717fe8647e,TB,Renewable Energy Technologies,ali-badiei,ali-badiei,False,ali-badiei,Dr Ali Badiei,1,1,False,0.362992,0.380394,0.45,1,Shared topic evidence: energy; Same college match
module_0010f5717fe8647e,TB,Renewable Energy Technologies,ali-badiei,ali-badiei,False,bertrand-delpech,Dr Bertrand Delpech,4,5,True,0.323518,0.268814,0.05,0,Same college match
module_0010f5717fe8647e,TB,Renewable Energy Technologies,ali-badiei,ali-badiei,False,harjit-singh,Professor Harjit Singh,2,2,False,0.354567,0.373654,0.45,1,Shared topic evidence: energy; Same college match
module_0010f5717fe8647e,TB,Renewable Energy Technologies,ali-badiei,ali-badiei,False,maria-kolokotroni,Professor Maria Kolokotroni,5,4,True,0.296556,0.327245,0.45,1,Shared topic evidence: energy; Same college match
module_0010f5717fe8647e,TB,Renewable Energy Technologies,ali-badiei,ali-badiei,False,valentina-stojceska,Professor Valentina Stojceska,3,3,False,0.341386,0.363109,0.45,1,Shared topic evidence: energy; Same college match
module_005e0d5092b574fc,COGNITIVENEUROSCIENCE,Cognitive Neuroscience,julio-rodriguezlarios,julio-rodriguezlarios,False,andre-szameitat,Dr Andre J. Szameitat,2,2,False,0.478955,0.503164,0.6,1,Shared topic evidence: psychology; Same department match
module_005e0d5092b574fc,COGNITIVENEUROSCIENCE,Cognitive Neuroscience,julio-rodriguezlarios,julio-rodriguezlarios,False,caroline-dibernardiluft,Dr Caroline Di Bernardi Luft,4,4,False,0.431232,0.484986,0.7,2,"Shared topic evidence: psychology, brain; Same department match"
module_005e0d5092b574fc,COGNITIVENEUROSCIENCE,Cognitive Neuroscience,julio-rodriguezlarios,julio-rodriguezlarios,False,elena-antonova,Dr Elena Antonova,5,5,False,0.406367,0.465094,0.7,2,"Shared topic evidence: psychology, brain function; Same department match"
module_005e0d5092b574fc,COGNITIVENEUROSCIENCE,Cognitive Neuroscience,julio-rodriguezlarios,julio-rodriguezlarios,False,julio-rodriguezlarios,Dr Julio Rodriguez Larios,1,1,False,0.484211,0.507369,0.6,1,Shared topic evidence: psychology; Same department match
module_005e0d5092b574fc,COGNITIVENEUROSCIENCE,Cognitive Neuroscience,julio-rodriguezlarios,julio-rodriguezlarios,False,veena-kumari,Professor Veena Kumari,3,3,False,0.456433,0.485146,0.6,1,Shared topic evidence: psychology; Same department match
module_0066d2008c0dacc6,BB27AAMOLECULARANDCELLULARBIOLOGYWITHDEVELOPMENTALANDSTEMCELLBIOLOGY,BB27aa - Molecular and Cellular Biology with Developmental and Stem Cell Biology,alessandro-esposito,victor-hernandez,True,ahmet-ucar,Dr Ahmet Ucar,5,4,True,0.370593,0.436474,0.7,2,"Shared topic evidence: biology, cell biology; Same department match"
module_0066d2008c0dacc6,BB27AAMOLECULARANDCELLULARBIOLOGYWITHDEVELOPMENTALANDSTEMCELLBIOLOGY,BB27aa - Molecular and Cellular Biology with Developmental and Stem Cell Biology,alessandro-esposito,victor-hernandez,True,alessandro-esposito,Dr Alessandro Esposito,1,2,True,0.430635,0.484508,0.7,2,"Shared topic evidence: biology, cell biology; Same department match"
module_0066d2008c0dacc6,BB27AAMOLECULARANDCELLULARBIOLOGYWITHDEVELOPMENTALANDSTEMCELLBIOLOGY,BB27aa - Molecular and Cellular Biology with Developmental and Stem Cell Biology,alessandro-esposito,victor-hernandez,True,auturo-sala,Professor Arturo Sala,3,3,False,0.382831,0.446265,0.7,2,"Shared topic evidence: biology, cell biology; Same department match"
module_0066d2008c0dacc6,BB27AAMOLECULARANDCELLULARBIOLOGYWITHDEVELOPMENTALANDSTEMCELLBIOLOGY,BB27aa - Molecular and Cellular Biology with Developmental and Stem Cell Biology,alessandro-esposito,victor-hernandez,True,camilla-cerutti,Dr Camilla Cerutti,4,5,True,0.378444,0.422755,0.6,1,Shared topic evidence: biology; Same department match
module_0066d2008c0dacc6,BB27AAMOLECULARANDCELLULARBIOLOGYWITHDEVELOPMENTALANDSTEMCELLBIOLOGY,BB27aa - Molecular and Cellular Biology with Developmental and Stem Cell Biology,alessandro-esposito,victor-hernandez,True,victor-hernandez,Dr Victor Hernandez,2,1,True,0.430331,0.504265,0.8,3,"Shared topic evidence: biology, molecular, cell biology; Same department match"
module_006e6d935e988cd4,SA5639,"SA5639 - Migration, Citizenship and Identity",rohini-rai,katalin-halasz,True,anna-tuckett,Dr Anna Tuckett,3,2,True,0.48492,0.475936,0.44,1,Shared topic evidence: citizenship; Same college match
module_006e6d935e988cd4,SA5639,"SA5639 - Migration, Citizenship and Identity",rohini-rai,katalin-halasz,True,katalin-halasz,Dr Katalin Halasz,2,1,True,0.516683,0.493346,0.4,1,Shared topic evidence: citizenship; Same college match
module_006e6d935e988cd4,SA5639,"SA5639 - Migration, Citizenship and Identity",rohini-rai,katalin-halasz,True,maria-kastrinou,Dr Maria Kastrinou,4,4,False,0.408235,0.336588,0.05,0,Same college match
module_006e6d935e988cd4,SA5639,"SA5639 - Migration, Citizenship and Identity",rohini-rai,katalin-halasz,True,peter-wilkin,Dr Peter Wilkin,5,5,False,0.395413,0.32633,0.05,0,Same college match
