case_id,selection_group,module_title,module_code,module_level,module_department,staff_a_name,staff_a_job_title,staff_a_department,staff_b_name,staff_b_job_title,staff_b_department,recommendation_level,rank,collaboration_score,combined_module_coverage,best_individual_coverage,complementarity_gain,staff_topic_overlap_ratio,has_shared_foundation,shared_module_topics,staff_a_complementary_topics,staff_b_complementary_topics,explanation,staff_a_relevance,staff_b_relevance,complementary_expertise,explanation_clarity,practical_plausibility,overall_recommendation_quality,reviewer_comments
M4-001,high,"EC3OOO - Economics, Finance, and Accounting Project",EC3OOO,Undergraduate,"Department of Economics, Finance and Accounting",Dr Elena Zaccaria,Senior Lecturer in Corporate and Commercial Law,,Dr Siming Liu,Senior Lecturer,,high,1,0.555047,79.7%,55.7%,24.0%,6.7%,yes,corporate finance,economic financial,accounting finance,"For the module 'EC3OOO - Economics, Finance, and Accounting Project', Dr Elena Zaccaria and Dr Siming Liu share relevant expertise in corporate finance. Dr Elena Zaccaria contributes economic financial and Dr Siming Liu contributes accounting finance. Together, the pair covers approximately 79.7% of the weighted module topics, adding 24.0% coverage beyond the stronger individual candidate.",,,,,,,
M4-002,high,LX5688 - Human Rights in Practice,LX5688,Postgraduate,Department of Social and Political Sciences,Professor Javaid Rehman,Professor - Law,,Dr Patricia Hobbs,Senior Lecturer in Public International Law,,high,1,0.423306,64.4%,49.6%,14.8%,0.0%,no,,human right; right law; law human right,international human right,"For the module 'LX5688 - Human Rights in Practice', Professor Javaid Rehman and Dr Patricia Hobbs provide complementary expertise. Professor Javaid Rehman contributes human right, right law, and law human right and Dr Patricia Hobbs contributes international human right. Together, the pair covers approximately 64.4% of the weighted module topics, adding 14.8% coverage beyond the stronger individual candidate.",,,,,,,
M4-003,high,Building a PR Campaign,FM5602,Postgraduate,"Department of Social Sciences, Media and Communications",Dr Abrahim Althonayan,Senior Lecturer in Ops Management,,Dr Ezgi Merdin Uygur,Lecturer in Digital Marketing,,high,1,0.367569,49.5%,27.4%,22.1%,6.2%,yes,,public relation,social medium,"For the module 'Building a PR Campaign', Dr Abrahim Althonayan and Dr Ezgi Merdin Uygur provide complementary expertise. Dr Abrahim Althonayan contributes public relation and Dr Ezgi Merdin Uygur contributes social medium. Together, the pair covers approximately 49.5% of the weighted module topics, adding 22.1% coverage beyond the stronger individual candidate.",,,,,,,
M4-004,high,MG5593 - International Business Ethics and Corporate Governance,MG5593,Postgraduate,Brunel Business School,Dr Asieh Hosseini Tabaghdehi,Senior Lecturer in Strategy & Business Economy,,Dr Meltem Yavuz Sercekman,Lecturer in Management,,high,1,0.369947,52.3%,29.7%,22.6%,0.0%,no,,business ethic; environmental sustainability,corporate governance,"For the module 'MG5593 - International Business Ethics and Corporate Governance', Dr Asieh Hosseini Tabaghdehi and Dr Meltem Yavuz Sercekman provide complementary expertise. Dr Asieh Hosseini Tabaghdehi contributes business ethic and environmental sustainability and Dr Meltem Yavuz Sercekman contributes corporate governance. Together, the pair covers approximately 52.3% of the weighted module topics, adding 22.6% coverage beyond the stronger individual candidate.",,,,,,,
M4-005,high,BB27aa - Molecular and Cellular Biology with Developmental and Stem Cell Biology,BB27aa - Molecular and Cellular Biology with Developmental and Stem Cell Biology,Undergraduate,Department of Life Sciences,Dr Joseph Hetmanski,Lecturer in Cell Biology,,Professor Paola Vagnarelli,Professor - Cell Biology,,high,1,0.361089,50.0%,33.3%,16.7%,7.7%,yes,cell biology,cell migration,cell division,"For the module 'BB27aa - Molecular and Cellular Biology with Developmental and Stem Cell Biology', Dr Joseph Hetmanski and Professor Paola Vagnarelli share relevant expertise in cell biology. Dr Joseph Hetmanski contributes cell migration and Professor Paola Vagnarelli contributes cell division. Together, the pair covers approximately 50.0% of the weighted module topics, adding 16.7% coverage beyond the stronger individual candidate.",,,,,,,
M4-006,high,LX3648 - International Law and Human Rights,LX3648,Undergraduate,Department of Social and Political Sciences,Dr Colin Luoma,Senior Lecturer in Law,,Dr Solon Solomon,Senior Lecturer in Law,,high,1,0.355056,53.1%,44.9%,8.3%,6.2%,yes,human right,cultural right,international law,"For the module 'LX3648 - International Law and Human Rights', Dr Colin Luoma and Dr Solon Solomon share relevant expertise in human right. Dr Colin Luoma contributes cultural right and Dr Solon Solomon contributes international law. Together, the pair covers approximately 53.1% of the weighted module topics, adding 8.3% coverage beyond the stronger individual candidate.",,,,,,,
M4-007,moderate,Building a PR Campaign,FM5602,Postgraduate,"Department of Social Sciences, Media and Communications",Dr Ozlem Ayaz,Senior Lecturer in Strategic Management,,Dr Timothy Cribbin,Senior Lecturer,,moderate,21,0.349811,46.5%,24.4%,22.1%,6.2%,yes,,public relation,social medium,"For the module 'Building a PR Campaign', Dr Ozlem Ayaz and Dr Timothy Cribbin provide complementary expertise. Dr Ozlem Ayaz contributes public relation and Dr Timothy Cribbin contributes social medium. Together, the pair covers approximately 46.5% of the weighted module topics, adding 22.1% coverage beyond the stronger individual candidate.",,,,,,,
M4-008,moderate,GY3610 - Modern Slavery and Human Trafficking,GY3610,Undergraduate,"Department of Social Sciences, Media and Communications",Dr Ayushman Bhagat,Lecturer in Political Geography,,Dr Janine Burroughs,Lecturer in Criminology and Criminal Justice (Professional Practice),,moderate,1,0.347004,49.2%,28.5%,20.7%,0.0%,no,,modern slavery human,human trafficking,"For the module 'GY3610 - Modern Slavery and Human Trafficking', Dr Ayushman Bhagat and Dr Janine Burroughs provide complementary expertise. Dr Ayushman Bhagat contributes modern slavery human and Dr Janine Burroughs contributes human trafficking. Together, the pair covers approximately 49.2% of the weighted module topics, adding 20.7% coverage beyond the stronger individual candidate.",,,,,,,
M4-009,moderate,"EC3OOO - Economics, Finance, and Accounting Project",EC3OOO,Undergraduate,"Department of Economics, Finance and Accounting",Dr John Hunter,Senior Lecturer,,Professor Stylianos Asimakopoulos,Professor of Macroeconomics and Finance,,moderate,30,0.349768,47.6%,42.1%,5.6%,20.0%,yes,corporate finance,economic financial,,"For the module 'EC3OOO - Economics, Finance, and Accounting Project', Dr John Hunter and Professor Stylianos Asimakopoulos share relevant expertise in corporate finance. Dr John Hunter contributes economic financial. Together, the pair covers approximately 47.6% of the weighted module topics, adding 5.6% coverage beyond the stronger individual candidate.",,,,,,,
M4-010,moderate,Psychology of Social Media,Psychology of Social Media,Undergraduate,Department of Life Sciences,Dr Magali Peyrefitte,Senior Lecturer in Criminology and Deviance,,Dr Timothy Cribbin,Senior Lecturer,,moderate,1,0.332053,46.7%,25.9%,20.8%,0.0%,no,,apply psychology; contemporary culture,social medium,"For the module 'Psychology of Social Media', Dr Magali Peyrefitte and Dr Timothy Cribbin provide complementary expertise. Dr Magali Peyrefitte contributes apply psychology and contemporary culture and Dr Timothy Cribbin contributes social medium. Together, the pair covers approximately 46.7% of the weighted module topics, adding 20.8% coverage beyond the stronger individual candidate.",,,,,,,
