module_id,module_code,module_title,module_type,host_department,primary_lead_name,primary_lead_m3_score,collaborator_rank,collaborator_name,collaborator_position,collaborator_department,collaboration_aspect,aspect_affinity_score,collaboration_suitability_score,rationale
module_0010f5717fe8647e,ME5521,Renewable Energy Technologies,taught_academic,Mechanical and Aerospace Engineering,Dr Ali Badiei,0.380394,1,Dr Muhammad Shafique,Lecturer,Civil and Environmental Engineering,Environmental Sustainability & Clean Tech,0.5752660036087036,0.5116797864437103,Enriches 'Renewable Energy Technologies' by delivering specialist guest sessions on 'Environmental Sustainability & Clean Tech'. Complements Dr Ali Badiei's (Mechanical and Aerospace Engineering) core delivery with external domain perspectives from Civil and Environmental Engineering.
module_005e0d5092b574fc,N/A,Cognitive Neuroscience,taught_academic,Department of Life Sciences,Dr Julio Rodriguez Larios,0.507369,1,Dr Fotios Spyridonis,Senior Lecturer in Computer Science,Computer Science,"Visual Perception, Graphic Storytelling & HCI",0.5139667391777039,0.45002584457397454,"Enriches 'Cognitive Neuroscience' by delivering specialist guest sessions on 'Visual Perception, Graphic Storytelling & HCI'. Complements Dr Julio Rodriguez Larios's (Department of Life Sciences) core delivery with external domain perspectives from Computer Science."
module_005e0d5092b574fc,N/A,Cognitive Neuroscience,taught_academic,Department of Life Sciences,Dr Julio Rodriguez Larios,0.507369,2,Dr Sven Fischer,Lecturer in Economics,"Economics, Finance and Accounting",Behavioural Economics & Decision Sciences,0.6018108129501343,0.45180567651987075,"Enriches 'Cognitive Neuroscience' by delivering specialist guest sessions on 'Behavioural Economics & Decision Sciences'. Complements Dr Julio Rodriguez Larios's (Department of Life Sciences) core delivery with external domain perspectives from Economics, Finance and Accounting."
module_005e0d5092b574fc,N/A,Cognitive Neuroscience,taught_academic,Department of Life Sciences,Dr Julio Rodriguez Larios,0.507369,3,Dr Elmar Kal,Senior Lecturer in Physiotherapy,Department of Health Sciences,Behavioural Psychology & Cognitive Science,0.3833687901496887,0.3843334823846817,Enriches 'Cognitive Neuroscience' by delivering specialist guest sessions on 'Behavioural Psychology & Cognitive Science'. Complements Dr Julio Rodriguez Larios's (Department of Life Sciences) core delivery with external domain perspectives from Department of Health Sciences.
module_0066d2008c0dacc6,BB27AA,Molecular and Cellular Biology with Developmental and Stem Cell Biology,taught_academic,Department of Life Sciences,Dr Victor Hernandez,0.504265,1,Dr Valeriia Haberland,Lecturer in Computer Science,Computer Science,Healthcare & Biomedical Applications,0.6184433698654175,0.5345626920461655,Enriches 'Molecular and Cellular Biology with Developmental and Stem Cell Biology' by delivering specialist guest sessions on 'Healthcare & Biomedical Applications'. Complements Dr Victor Hernandez's (Department of Life Sciences) core delivery with external domain perspectives from Computer Science.
module_007d7aaec2da923a,PY5616,Cognitive and Clinical Neuroscience: Core Topics,taught_academic,Department of Health Sciences,Dr Panagiota Smyrni,0.274598,1,Dr Andre J. Szameitat,Reader - Psychology,Department of Life Sciences,Behavioural Psychology & Cognitive Science,0.5748533010482788,0.5150206744670868,Enriches 'Cognitive and Clinical Neuroscience: Core Topics' by delivering specialist guest sessions on 'Behavioural Psychology & Cognitive Science'. Complements Dr Panagiota Smyrni's (Department of Health Sciences) core delivery with external domain perspectives from Department of Life Sciences.
module_007d7aaec2da923a,PY5616,Cognitive and Clinical Neuroscience: Core Topics,taught_academic,Department of Health Sciences,Dr Panagiota Smyrni,0.274598,2,Dr Valeriia Haberland,Lecturer in Computer Science,Computer Science,Healthcare & Biomedical Applications,0.6184433698654175,0.5056602582335472,Enriches 'Cognitive and Clinical Neuroscience: Core Topics' by delivering specialist guest sessions on 'Healthcare & Biomedical Applications'. Complements Dr Panagiota Smyrni's (Department of Health Sciences) core delivery with external domain perspectives from Computer Science.
module_00f9a51a953560ff,N/A,Qualitative Research Methods,taught_academic,Department of Life Sciences,Dr Rebecca Hings,0.393034,1,Professor Rob Macredie,Professor - Interactive Systems,Computer Science,"Visual Perception, Graphic Storytelling & HCI",0.4873397946357727,0.4575718879699707,"Enriches 'Qualitative Research Methods' by delivering specialist guest sessions on 'Visual Perception, Graphic Storytelling & HCI'. Complements Dr Rebecca Hings's (Department of Life Sciences) core delivery with external domain perspectives from Computer Science."
module_00f9a51a953560ff,N/A,Qualitative Research Methods,taught_academic,Department of Life Sciences,Dr Rebecca Hings,0.393034,2,Dr Soohyun Jeon,Lecturer in Information Systems,Business Analytics and Marketing,Behavioural Psychology & Cognitive Science,0.3749326169490814,0.3815469712018966,Enriches 'Qualitative Research Methods' by delivering specialist guest sessions on 'Behavioural Psychology & Cognitive Science'. Complements Dr Rebecca Hings's (Department of Life Sciences) core delivery with external domain perspectives from Business Analytics and Marketing.
module_00fb53d5198b9eea,N/A,Nursing Practice Module for Year 2 (Mental Health),taught_academic,Department of Health Sciences,Dr Carolyn Dunford,0.36728,1,Dr Valeriia Haberland,Lecturer in Computer Science,Computer Science,Healthcare & Biomedical Applications,0.6184433698654175,0.49394167363643643,Enriches 'Nursing Practice Module for Year 2 (Mental Health)' by delivering specialist guest sessions on 'Healthcare & Biomedical Applications'. Complements Dr Carolyn Dunford's (Department of Health Sciences) core delivery with external domain perspectives from Computer Science.
module_0116d48246d62e9d,DM3802,Design Major Project - Research,independent_project_placement,Brunel Design School,Dr Busayawan Lam,0.394316,0,N/A (Exempt Unit),N/A,N/A,Independent Supervision Only,0.0,0.0,Exempt from co-delivery: Independent student research project / placement unit.
module_013faae15756cead,DM5533,Sustainable Design,taught_academic,Department of Life Sciences,Dr Sibylle Ermler,0.237822,1,Dr Muhammad Shafique,Lecturer,Civil and Environmental Engineering,Environmental Sustainability & Clean Tech,0.5752660036087036,0.5882377922534943,Enriches 'Sustainable Design' by delivering specialist guest sessions on 'Environmental Sustainability & Clean Tech'. Complements Dr Sibylle Ermler's (Department of Life Sciences) core delivery with external domain perspectives from Civil and Environmental Engineering.
module_017acf723192e088,ME5641,Strategy and Business Planning,taught_academic,Mechanical and Aerospace Engineering,Dr Alireza Mousavi,0.174223,1,Dr Abrahim Althonayan,Senior Lecturer in Ops Management,"Strategy, Entrepreneurship and Management","Business Analytics, Enterprise Strategy & Management",0.6061857342720032,0.5681615948677063,"Enriches 'Strategy and Business Planning' by delivering specialist guest sessions on 'Business Analytics, Enterprise Strategy & Management'. Complements Dr Alireza Mousavi's (Mechanical and Aerospace Engineering) core delivery with external domain perspectives from Strategy, Entrepreneurship and Management."
module_017acf723192e088,ME5641,Strategy and Business Planning,taught_academic,Mechanical and Aerospace Engineering,Dr Alireza Mousavi,0.174223,2,Professor David Gallear,Vice Dean Education/Professor - Operations Management,Business Analytics and Marketing,Environmental Sustainability & Clean Tech,0.5589849948883057,0.48083877265453334,Enriches 'Strategy and Business Planning' by delivering specialist guest sessions on 'Environmental Sustainability & Clean Tech'. Complements Dr Alireza Mousavi's (Mechanical and Aerospace Engineering) core delivery with external domain perspectives from Business Analytics and Marketing.
module_019c8f47c4fa6e7f,DM1601,Electronics and Mathematics,taught_academic,Brunel Design School,Dr Liang Li,0.152078,1,Professor Simon Shaw,Professor,Mathematics,"Computational Modeling, Numerical Simulation & Algorithms",0.4839523136615753,0.42347719967365266,"Enriches 'Electronics and Mathematics' by delivering specialist guest sessions on 'Computational Modeling, Numerical Simulation & Algorithms'. Complements Dr Liang Li's (Brunel Design School) core delivery with external domain perspectives from Mathematics."
module_019c8f47c4fa6e7f,DM1601,Electronics and Mathematics,taught_academic,Brunel Design School,Dr Liang Li,0.152078,2,Dr Rumyana Neykova,Senior Lecturer in Computer Science,Computer Science,"Cybersecurity, Cryptography & Digital Trust",0.4467697739601135,0.3765522330999374,"Enriches 'Electronics and Mathematics' by delivering specialist guest sessions on 'Cybersecurity, Cryptography & Digital Trust'. Complements Dr Liang Li's (Brunel Design School) core delivery with external domain perspectives from Computer Science."
module_019c8f47c4fa6e7f,DM1601,Electronics and Mathematics,taught_academic,Brunel Design School,Dr Liang Li,0.152078,3,Dr Md Nazmul Huda,Associate Dean (Student Experience)/Senior Lecturer in Electronic & Electrical Engineering,Electronic and Electrical Engineering,"Robotics, Embedded Systems & Hardware Integration",0.4555783271789551,0.3904388651251792,"Enriches 'Electronics and Mathematics' by delivering specialist guest sessions on 'Robotics, Embedded Systems & Hardware Integration'. Complements Dr Liang Li's (Brunel Design School) core delivery with external domain perspectives from Electronic and Electrical Engineering."
module_0222aab777155ab4,CO3XXA,21st Century Media Bodies,taught_academic,Social and Political Sciences,Dr Billur Ozgul,0.25431,1,Professor George Ghinea,Professor - Mulsemedia Computing,Computer Science,"Visual Perception, Graphic Storytelling & HCI",0.5237909555435181,0.4684018552303314,"Enriches '21st Century Media Bodies' by delivering specialist guest sessions on 'Visual Perception, Graphic Storytelling & HCI'. Complements Dr Billur Ozgul's (Social and Political Sciences) core delivery with external domain perspectives from Computer Science."
module_02fd7eb3577c6ddd,N/A,Digital Design and Prototyping,taught_academic,Brunel Design School,Dr Mohammed Elsouri,0.387396,1,Dr Rumyana Neykova,Senior Lecturer in Computer Science,Computer Science,"Cybersecurity, Cryptography & Digital Trust",0.4467697739601135,0.405213388800621,"Enriches 'Digital Design and Prototyping' by delivering specialist guest sessions on 'Cybersecurity, Cryptography & Digital Trust'. Complements Dr Mohammed Elsouri's (Brunel Design School) core delivery with external domain perspectives from Computer Science."
module_02fd7eb3577c6ddd,N/A,Digital Design and Prototyping,taught_academic,Brunel Design School,Dr Mohammed Elsouri,0.387396,2,Dr Diana Suleimenova,Lecturer in Computer Science,Computer Science,"Computational Modeling, Numerical Simulation & Algorithms",0.48383790254592896,0.3938822001218796,"Enriches 'Digital Design and Prototyping' by delivering specialist guest sessions on 'Computational Modeling, Numerical Simulation & Algorithms'. Complements Dr Mohammed Elsouri's (Brunel Design School) core delivery with external domain perspectives from Computer Science."
module_02fd7eb3577c6ddd,N/A,Digital Design and Prototyping,taught_academic,Brunel Design School,Dr Mohammed Elsouri,0.387396,3,Dr Amir Ashrafi,Lecturer in Business Information Systems,Business Analytics and Marketing,"Business Analytics, Enterprise Strategy & Management",0.6018611192703247,0.5022038400173188,"Enriches 'Digital Design and Prototyping' by delivering specialist guest sessions on 'Business Analytics, Enterprise Strategy & Management'. Complements Dr Mohammed Elsouri's (Brunel Design School) core delivery with external domain perspectives from Business Analytics and Marketing."
module_038c28db34451d45,FM1628,Film and TV Analysis,taught_academic,Arts and Humanities,Dr Sean Holmes,0.335952,1,Professor George Ghinea,Professor - Mulsemedia Computing,Computer Science,"Visual Perception, Graphic Storytelling & HCI",0.5237909555435181,0.45111728012561797,"Enriches 'Film and TV Analysis' by delivering specialist guest sessions on 'Visual Perception, Graphic Storytelling & HCI'. Complements Dr Sean Holmes's (Arts and Humanities) core delivery with external domain perspectives from Computer Science."
module_03b42c5deb874152,MG2641,Marketing Challenge,taught_academic,"Strategy, Entrepreneurship and Management",Dr Carolin Decker-Lange,0.379683,1,Dr Busayawan Lam,Reader,Brunel Design School,"Visual Perception, Graphic Storytelling & HCI",0.46130913496017456,0.4730140626430511,"Enriches 'Marketing Challenge' by delivering specialist guest sessions on 'Visual Perception, Graphic Storytelling & HCI'. Complements Dr Carolin Decker-Lange's (Strategy, Entrepreneurship and Management) core delivery with external domain perspectives from Brunel Design School."
module_03b42c5deb874152,MG2641,Marketing Challenge,taught_academic,"Strategy, Entrepreneurship and Management",Dr Carolin Decker-Lange,0.379683,2,Dr Sven Fischer,Lecturer in Economics,"Economics, Finance and Accounting",Behavioural Economics & Decision Sciences,0.6018108129501343,0.48266338258981706,"Enriches 'Marketing Challenge' by delivering specialist guest sessions on 'Behavioural Economics & Decision Sciences'. Complements Dr Carolin Decker-Lange's (Strategy, Entrepreneurship and Management) core delivery with external domain perspectives from Economics, Finance and Accounting."
module_03b42c5deb874152,MG2641,Marketing Challenge,taught_academic,"Strategy, Entrepreneurship and Management",Dr Carolin Decker-Lange,0.379683,3,Dr Amir Ashrafi,Lecturer in Business Information Systems,Business Analytics and Marketing,"Business Analytics, Enterprise Strategy & Management",0.6018611192703247,0.5430670261383057,"Enriches 'Marketing Challenge' by delivering specialist guest sessions on 'Business Analytics, Enterprise Strategy & Management'. Complements Dr Carolin Decker-Lange's (Strategy, Entrepreneurship and Management) core delivery with external domain perspectives from Business Analytics and Marketing."
module_041c424883ba3499,MG5620,Contemporary Brand Management,taught_academic,Business Analytics and Marketing,Dr Gurdeep Kohli,0.423641,1,Dr Abrahim Althonayan,Senior Lecturer in Ops Management,"Strategy, Entrepreneurship and Management","Business Analytics, Enterprise Strategy & Management",0.6061857342720032,0.5406858593225479,"Enriches 'Contemporary Brand Management' by delivering specialist guest sessions on 'Business Analytics, Enterprise Strategy & Management'. Complements Dr Gurdeep Kohli's (Business Analytics and Marketing) core delivery with external domain perspectives from Strategy, Entrepreneurship and Management."
module_0448b0152757812e,DX2601,Experimental Digital Futures,taught_academic,Computer Science,Professor Mark Perry,0.288577,1,Dr Md Nazmul Huda,Associate Dean (Student Experience)/Senior Lecturer in Electronic & Electrical Engineering,Electronic and Electrical Engineering,"Robotics, Embedded Systems & Hardware Integration",0.4555783271789551,0.38403695523738857,"Enriches 'Experimental Digital Futures' by delivering specialist guest sessions on 'Robotics, Embedded Systems & Hardware Integration'. Complements Professor Mark Perry's (Computer Science) core delivery with external domain perspectives from Electronic and Electrical Engineering."
module_0448b0152757812e,DX2601,Experimental Digital Futures,taught_academic,Computer Science,Professor Mark Perry,0.288577,2,Dr Rumyana Neykova,Senior Lecturer in Computer Science,Computer Science,"Cybersecurity, Cryptography & Digital Trust",0.4467697739601135,0.42844998240470883,"Enriches 'Experimental Digital Futures' by delivering specialist guest sessions on 'Cybersecurity, Cryptography & Digital Trust'. Complements Professor Mark Perry's (Computer Science) core delivery with external domain perspectives from Computer Science."
module_0448b0152757812e,DX2601,Experimental Digital Futures,taught_academic,Computer Science,Professor Mark Perry,0.288577,3,Dr Lalnunpuia Samuel,Lecturer in Marketing,Business Analytics and Marketing,"Business Analytics, Enterprise Strategy & Management",0.5184305906295776,0.5135333776473998,"Enriches 'Experimental Digital Futures' by delivering specialist guest sessions on 'Business Analytics, Enterprise Strategy & Management'. Complements Professor Mark Perry's (Computer Science) core delivery with external domain perspectives from Business Analytics and Marketing."
