module_id,module_code,module_title,department,primary_lead_name,omission_reason,description_preview,gap_aspect_count
module_006e6d935e988cd4,SA5639,"SA5639 - Migration, Citizenship and Identity","Department of Social Sciences, Media and Communications",Dr Katalin Halasz,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module introduces students to a range of key concepts and theories in the anthropology of ethnicity, culture, nationhood and identity. These classical anth...",0
module_00b969765c873e13,FM2634,FM2634 - World Cinemas,Department of Arts and Humanities,Dr Paul Moody,Narrow Domain (Below Interdisciplinary Aspect Thresholds),Interested in exploring the dynamic relationships that exist between different cinemas from different places? Then this option is for you. We will consider a ra...,0
module_00fb53d5198b9eea,,Nursing Practice Module for Year 2 (Mental Health),Department of Health Sciences,Dr Carolyn Dunford,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module is supported by the Pan London Practice Assessment Document (PLPAD) which is designed to support and guide students towards successfully achieving t...,0
module_01979353071c854f,DR16CC,DR16cc - Acting,Department of Arts and Humanities,Dr Katerina Paramana,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module emphasises the creative making process rather than the finished theatre product. Sessions will introduce theatre-making tools, inviting you to devel...",0
module_0477bdd146378fca,BB1725,BB1725 - Biology of the Cell,Department of Life Sciences,Professor Joanna Bridger,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"In this modules students will receive a broad introduction to the understanding of living organisms at the cellular level through the study of genetics, cell bi...",0
module_05b374b64ec07732,ED2709,ED2709 - Education Work Placements 2,Department of Education,Dr Lewis Fogarty,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This study block aims to provide an opportunity to establish links between education research theory and practice, to explore how educational disciplines can ap...",0
module_05c9e5c62ee1a4e7,LX5BBB,LX5BBB - SQE 1 Preparation: Legal Practice 2,Brunel Law School,Dr Elena Zaccaria,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module is delivered online by BARBRI, with access to BARBRI staff support. Students will explore key areas such as property practice, wills and estate admi...",0
module_062ea0ffcae1c8e8,CE2616,CE2616 - Structural Analysis,Department of Civil and Environmental Engineering,Dr Rui Ramos Cardoso,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to enable students develop further their ability to analyse structures including statically indeterminate structures and learn the fundamental ...,0
module_07741bb43b03566d,,Clinical Placement A,Department of Arts and Humanities,Dr Katerina Paramana,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The aims of clinical placement (A) are to demonstrate an in-depth applied knowledge of the use of the arts form within a therapeutic relationship, being able to...",0
module_09054908dea05cce,MU3625,MU3625 - Professional Independent Project,Department of Arts and Humanities,Professor Michael Wayne,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module gives you the chance to explore a topic that genuinely interests you, whether through a dissertation, a composition portfolio, a performance or a co...",0
module_0933deff0d2890dd,PH5650,PH5650 Advanced Lifestyle Management in Cardiovascular Health,Department of Health Sciences,Dr Emma Norris,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to provide students with the knowledge and skills needed to apply multi-factorial lifestyle approaches to the management of long term and chron...,0
module_0a2148475d5d960c,CY2609,CY2609 - Global and Intersectional Criminology,Department of Social and Political Sciences,Dr Anamika Twyman-Ghoshal,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module will enable students to use intersectional perspectives to develop their understandings of crime, deviance, victimisation, social harm, and justice ...",0
module_0c077b71c9a01b52,SP56AA,SP56aa - Professional Practice,Department of Life Sciences,Dr Rebecca Hings,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module enables students to develop a sophisticated understanding of professional practice and the diverse therapeutic modalities central to sport and exerc...,0
module_0c222dd60c6de9ff,PH5684,PH5684 - Person-centred Healthcare and Leadership 2,Department of Health Sciences,Dr Allison Wiseman,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module builds on the skills and knowledge acquired from the ‘Person-centred Healthcare and Leadership 1’ module. Core themes of this module will be further...,0
module_0d35ea4d63f4ff2b,,EE5566 - Advanced Analogue Electronics and Photonics,Department of Electronic and Computer Engineering,Dr Lu Gan,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to enable students to focus on photonic systems and electronic systems for sensors in general the use of real-world examples and hence to acqui...,0
module_0d84184ce9e99c9a,MA5624,MA5624 - Option Pricing Theory,Department of Mathematics,Dr Jiawei Lim,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to equip students with the notion of risk-neutral valuation and the relation between physical and risk-neutral probability measures in the Brow...,0
module_0e71cfe38f714e04,FM1625,FM1625 - The Professional Self,Department of Arts and Humanities,Dr Sean Holmes,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to engage you in your own professional development with workshop sessions on activities like CV workshops and networking simulations. Throughou...,0
module_102dbe71e6be8115,CO5608,CO5608 - Political Satire and Comedy,"Department of Social Sciences, Media and Communications",Dr Simon Weaver,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module provides students with a sophisticated and critical knowledge and understanding of the relationships between politics, satire and comedy. These rela...",0
module_104d0f8450e7c97e,SO3614,SO3614 - Apocalypse! Crisis and Society,"Department of Social Sciences, Media and Communications",Dr Billur Ozgul,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Explore the social & political significance of representations of national and global crises, and public perceptions of controversies. Students analyse dystopia...",0
module_12cb8f967c49ac90,EE5664,EE5664 - Power Electronics and Drives,Department of Electronic and Computer Engineering,Dr Ioana Pisica,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The aims of this module are to develop students ability to critically analyse and design advanced power electronic circuits and incorporate state-of-the-art pow...,0
module_12d0033cf97c0024,ED3701,ED3701 - Education in Different Contexts,Department of Education,Dr Lewis Fogarty,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This study block aims to develop knowledge and understanding of social, historical and political factors that have influenced current educational provision for ...",0
module_13051a545de486f5,MG2638,MG2638 - Services Marketing,Brunel Business School,Dr Abrahim Althonayan,Saturated / Fully Covered by Primary Lead,This module aims to develop in students a critical understanding of service management theory and practice and provide knowledge of modern theory associated wit...,1
module_13c678845a1f248d,FM5609,"Key Issues in Media, Culture and Public Relations","Department of Social Sciences, Media and Communications",Dr Billur Ozgul,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will provide students with the essential background to the theories and debates that can help us understand public relations and its relationship to...,0
module_13ef70855838bd76,TB,EE5632 - Power Electronics and Drives,Department of Electronic and Computer Engineering,Dr Ioana Pisica,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The aims of this module are to develop students’ ability to: 1. critically analyse and design advanced power electronic circuits; 2. incorporate state-of-the-ar...,0
module_14de1f64d4bd25e9,CO3620,CO3620 - Media Production as Activism,"Department of Social Sciences, Media and Communications",Dr Billur Ozgul,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module will enable students to develop a broad range of practical skills by using creative practice to respond to, critique and challenge social issues. It...",0
module_15f736c390987b6c,CY2610,CY2610 - Mental Health and Offending,Department of Social and Political Sciences,Dr Matthew Cracknell,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"An introduction to the key theoretical perspectives surrounding mental health and offending, it ensures students are familiar with the key legislation, policy, ...",0
