comparison,model_a,model_b,metric,mean_a,mean_b,mean_difference,percentage_gain,test_used,p_value,cohens_d,is_significant
M0_TFIDF -> M1_Enriched_TFIDF,M0_TFIDF,M1_Enriched_TFIDF,ndcg_at_5,0.251508,0.203118,-0.04839,-19.24%,wilcoxon,0.03616,-0.153185,True
M0_TFIDF -> M1_Enriched_TFIDF,M0_TFIDF,M1_Enriched_TFIDF,precision_at_1_strict,0.134831,0.11236,-0.022472,-16.67%,wilcoxon,0.414216,-0.061141,False
M0_TFIDF -> M1_Enriched_TFIDF,M0_TFIDF,M1_Enriched_TFIDF,precision_at_5_strict,0.076404,0.060674,-0.01573,-20.59%,wilcoxon,0.019631,-0.177129,True
M0_TFIDF -> M1_Enriched_TFIDF,M0_TFIDF,M1_Enriched_TFIDF,mrr_strict,0.213951,0.173689,-0.040262,-18.82%,wilcoxon,0.070524,-0.128998,False
M0_TFIDF -> M1_Enriched_TFIDF,M0_TFIDF,M1_Enriched_TFIDF,map_at_5_strict,0.212687,0.173689,-0.038998,-18.34%,wilcoxon,0.080318,-0.125676,False
M0_TFIDF -> M2_Semantic,M0_TFIDF,M2_Semantic,ndcg_at_5,0.251508,0.842467,0.590959,234.97%,wilcoxon,0.0,1.253205,True
M0_TFIDF -> M2_Semantic,M0_TFIDF,M2_Semantic,precision_at_1_strict,0.134831,0.078652,-0.05618,-41.67%,wilcoxon,0.04986,-0.148192,True
M0_TFIDF -> M2_Semantic,M0_TFIDF,M2_Semantic,precision_at_5_strict,0.076404,0.069663,-0.006742,-8.82%,wilcoxon,0.443845,-0.057047,False
M0_TFIDF -> M2_Semantic,M0_TFIDF,M2_Semantic,mrr_strict,0.213951,0.177622,-0.03633,-16.98%,wilcoxon,0.223586,-0.102468,False
M0_TFIDF -> M2_Semantic,M0_TFIDF,M2_Semantic,map_at_5_strict,0.212687,0.177622,-0.035066,-16.49%,wilcoxon,0.247805,-0.098573,False
M1_Enriched_TFIDF -> M2_Semantic,M1_Enriched_TFIDF,M2_Semantic,ndcg_at_5,0.203118,0.842467,0.639349,314.77%,wilcoxon,0.0,1.265759,True
M1_Enriched_TFIDF -> M2_Semantic,M1_Enriched_TFIDF,M2_Semantic,precision_at_1_strict,0.11236,0.078652,-0.033708,-30.0%,wilcoxon,0.200825,-0.096053,False
M1_Enriched_TFIDF -> M2_Semantic,M1_Enriched_TFIDF,M2_Semantic,precision_at_5_strict,0.060674,0.069663,0.008989,14.81%,wilcoxon,0.238185,0.088508,False
M1_Enriched_TFIDF -> M2_Semantic,M1_Enriched_TFIDF,M2_Semantic,mrr_strict,0.173689,0.177622,0.003933,2.26%,wilcoxon,0.748221,0.012622,False
M1_Enriched_TFIDF -> M2_Semantic,M1_Enriched_TFIDF,M2_Semantic,map_at_5_strict,0.173689,0.177622,0.003933,2.26%,wilcoxon,0.748221,0.012622,False
M2_Semantic -> M3_KG,M2_Semantic,M3_KG,ndcg_at_5,0.842467,0.720387,-0.122081,-14.49%,wilcoxon,0.0,-0.395291,True
M2_Semantic -> M3_KG,M2_Semantic,M3_KG,precision_at_1_strict,0.078652,0.078652,0.0,0.0%,wilcoxon,1.0,0.0,False
M2_Semantic -> M3_KG,M2_Semantic,M3_KG,precision_at_5_strict,0.069663,0.069663,0.0,0.0%,wilcoxon,1.0,0.0,False
M2_Semantic -> M3_KG,M2_Semantic,M3_KG,mrr_strict,0.177622,0.176685,-0.000936,-0.53%,wilcoxon,1.0,-0.074953,False
M2_Semantic -> M3_KG,M2_Semantic,M3_KG,map_at_5_strict,0.177622,0.176685,-0.000936,-0.53%,wilcoxon,1.0,-0.074953,False
M3_KG -> M4_v2_DualLayer,M3_KG,M4_v2_DualLayer,ndcg_at_5,0.720387,0.714769,-0.005618,-0.78%,wilcoxon,1.0,-0.074953,False
M3_KG -> M4_v2_DualLayer,M3_KG,M4_v2_DualLayer,precision_at_1_strict,0.078652,0.078652,0.0,0.0%,wilcoxon,1.0,0.0,False
M3_KG -> M4_v2_DualLayer,M3_KG,M4_v2_DualLayer,precision_at_5_strict,0.069663,0.069663,0.0,0.0%,wilcoxon,1.0,0.0,False
M3_KG -> M4_v2_DualLayer,M3_KG,M4_v2_DualLayer,mrr_strict,0.176685,0.176685,0.0,0.0%,wilcoxon,1.0,0.0,False
M3_KG -> M4_v2_DualLayer,M3_KG,M4_v2_DualLayer,map_at_5_strict,0.176685,0.176685,0.0,0.0%,wilcoxon,1.0,0.0,False
M4_v2_DualLayer -> M5_LoadBalanced,M4_v2_DualLayer,M5_LoadBalanced,ndcg_at_5,0.714769,0.710281,-0.004488,-0.63%,wilcoxon,0.437354,-0.034369,False
M4_v2_DualLayer -> M5_LoadBalanced,M4_v2_DualLayer,M5_LoadBalanced,precision_at_1_strict,0.078652,0.123596,0.044944,57.14%,wilcoxon,0.0455,0.151193,True
M4_v2_DualLayer -> M5_LoadBalanced,M4_v2_DualLayer,M5_LoadBalanced,precision_at_5_strict,0.069663,0.069663,0.0,0.0%,wilcoxon,1.0,0.0,False
